Step: 1000, Reward: -103.39698481559753
Step: 2000, Reward: -180.50059962272644
Step: 3000, Reward: -703.6279978752136
Step: 4000, Reward: -274.9169932305813
Step: 5000, Reward: -858.5573791265488
Step: 6000, Reward: -567.5021486282349
Step: 7000, Reward: -1628.351483643055
Step: 8000, Reward: -493.22768473625183
Step: 9000, Reward: -622.3566526174545
Step: 10000, Reward: -158.54256948828697
Step: 11000, Reward: -182.22672480344772
Step: 12000, Reward: -995.6493056863546
Step: 13000, Reward: -779.9266309142113
Step: 14000, Reward: -619.8007773607969
Step: 15000, Reward: -345.8750624656677
Step: 16000, Reward: -21.291700214147568
Step: 17000, Reward: -321.4961030781269
Step: 18000, Reward: -12.978149324655533
Step: 19000, Reward: -135.7655472755432
Step: 20000, Reward: -221.4236996769905
Step: 21000, Reward: 22.70304548740387
Step: 22000, Reward: 24.683200389146805
Step: 23000, Reward: -13.070713832974434
Step: 24000, Reward: -108.18998768925667
Step: 25000, Reward: -127.69109511375427
Step: 26000, Reward: -297.91275572776794
Step: 27000, Reward: -852.9412855505943
Step: 28000, Reward: -696.7100570201874
Step: 29000, Reward: -663.5452846288681
Step: 30000, Reward: -1067.789673924446
Step: 31000, Reward: -577.6344177722931
Step: 32000, Reward: -631.789290651679
Step: 33000, Reward: -75.38846895098686
Step: 34000, Reward: -374.1818107366562
Step: 35000, Reward: 76.7996755540371
Step: 36000, Reward: -259.7063086628914
Step: 37000, Reward: -347.31928111612797
Step: 38000, Reward: -529.8315023481846
Step: 39000, Reward: -1147.4124844670296
Step: 40000, Reward: -358.44796136021614
Step: 41000, Reward: -263.3329048156738
Step: 42000, Reward: -419.82583498954773
Step: 43000, Reward: -380.1046720147133
Step: 44000, Reward: -139.70782360434532
Step: 45000, Reward: -80.46647706627846
Step: 46000, Reward: -182.1019239127636
Step: 47000, Reward: -52.872691720724106
Step: 48000, Reward: -162.67891478538513
Step: 49000, Reward: -94.80083307623863
Step: 50000, Reward: -136.49639609456062
Step: 51000, Reward: -215.22295752167702
Step: 52000, Reward: -113.7611426860094
Step: 53000, Reward: -33.8140562325716
Step: 54000, Reward: -312.79713556170464
Step: 55000, Reward: -226.86923822760582
Step: 56000, Reward: -215.55318802595139
Step: 57000, Reward: -371.34671926498413
Step: 58000, Reward: -228.94011887907982
Step: 59000, Reward: -369.83426409959793
Step: 60000, Reward: -260.298313498497
Step: 61000, Reward: -341.9975772947073
Step: 62000, Reward: -340.41247537732124
Step: 63000, Reward: -252.96105036139488
Step: 64000, Reward: -18.878133594989777
Step: 65000, Reward: 16.96372562646866
Step: 66000, Reward: -359.7601583302021
Step: 67000, Reward: 37.59391203522682
Step: 68000, Reward: -70.87975254654884
Step: 69000, Reward: -142.38464111089706
Step: 70000, Reward: -693.5040084123611
Step: 71000, Reward: -502.45349127054214
Step: 72000, Reward: -363.56910914182663
Step: 73000, Reward: 21.06398357450962
Step: 74000, Reward: -249.22503212094307
Step: 75000, Reward: 72.31977391242981
Step: 76000, Reward: -64.2945168018341
Step: 77000, Reward: -71.22519466280937
Step: 78000, Reward: -1284.2317150831223
Step: 79000, Reward: -918.8399692177773
