Step: 1000, Reward: -219.76341965794563
Step: 2000, Reward: -250.60665267705917
Step: 3000, Reward: -447.70445215702057
Step: 4000, Reward: -245.16549384593964
Step: 5000, Reward: -330.5771033465862
Step: 6000, Reward: -197.06214606761932
Step: 7000, Reward: -93.50976246595383
Step: 8000, Reward: -80.41143360733986
Step: 9000, Reward: -266.85528886318207
Step: 10000, Reward: -148.97968515753746
Step: 11000, Reward: -168.7375072836876
Step: 12000, Reward: -307.3969632387161
Step: 13000, Reward: -288.7383691370487
Step: 14000, Reward: -123.262779250741
Step: 15000, Reward: 11.226724579930305
Step: 16000, Reward: 23.125629007816315
Step: 17000, Reward: 4.239128291606903
Step: 18000, Reward: -91.01614558696747
Step: 19000, Reward: -4.085150435566902
Step: 20000, Reward: -0.7689720094203949
Step: 21000, Reward: 87.6006116271019
Step: 22000, Reward: 35.05233585834503
Step: 23000, Reward: -62.371286511421204
Step: 24000, Reward: 34.12709155678749
Step: 25000, Reward: 8.254787981510162
Step: 26000, Reward: 45.73588791489601
Step: 27000, Reward: 14.015747606754303
Step: 28000, Reward: 46.61807268857956
Step: 29000, Reward: 13.24656692147255
Step: 30000, Reward: 74.71716631948948
Step: 31000, Reward: -21.703525483608246
Step: 32000, Reward: 17.774980902671814
Step: 33000, Reward: -31.86512467265129
Step: 34000, Reward: -6.315075471997261
Step: 35000, Reward: -78.0382388830185
Step: 36000, Reward: -40.613081976771355
Step: 37000, Reward: -95.5021559894085
Step: 38000, Reward: 114.51799936592579
Step: 39000, Reward: 72.05166424810886
Step: 40000, Reward: -118.22051724791527
Step: 41000, Reward: -17.101428851485252
Step: 42000, Reward: 68.4776868969202
Step: 43000, Reward: 50.04718375205994
Step: 44000, Reward: 68.48655876517296
Step: 45000, Reward: 58.233270920813084
Step: 46000, Reward: 83.80420909821987
Step: 47000, Reward: 15.177263885736465
Step: 48000, Reward: 64.28056885302067
Step: 49000, Reward: -37.24946731328964
Step: 50000, Reward: 98.75979615747929
Step: 51000, Reward: 88.38729728758335
Step: 52000, Reward: 76.98557007312775
Step: 53000, Reward: 143.08970418572426
Step: 54000, Reward: 87.15507509559393
Step: 55000, Reward: 153.20782288908958
Step: 56000, Reward: 65.27104210853577
Step: 57000, Reward: 128.78758922219276
Step: 58000, Reward: 119.97358351945877
Step: 59000, Reward: 125.56896584481001
Step: 60000, Reward: 26.151094384491444
Step: 61000, Reward: 144.28513782471418
Step: 62000, Reward: 126.91617464274168
Step: 63000, Reward: 168.6742668747902
Step: 64000, Reward: 89.92111760377884
Step: 65000, Reward: 115.40366153419018
Step: 66000, Reward: 247.1720338538289
Step: 67000, Reward: 218.92558530718088
Step: 68000, Reward: 19.765206828713417
Step: 69000, Reward: 161.0461061000824
Step: 70000, Reward: 134.00309632718563
Step: 71000, Reward: -150.0218297690153
Step: 72000, Reward: 41.76149009913206
Step: 73000, Reward: 171.69211308658123
Step: 74000, Reward: 170.33319868147373
Step: 75000, Reward: 71.67210300266743
Step: 76000, Reward: 71.00613942742348
Step: 77000, Reward: 174.63598315417767
Step: 78000, Reward: 144.88692121952772
Step: 79000, Reward: 190.99350786209106
Step: 80000, Reward: 122.7296979278326
Step: 81000, Reward: 183.17125133424997
Step: 82000, Reward: 107.68145999312401
Step: 83000, Reward: 177.31042519956827
Step: 84000, Reward: 267.80626371502876
Step: 85000, Reward: 119.17274683713913
Step: 86000, Reward: 215.91456851363182
Step: 87000, Reward: 104.43041409552097
Step: 88000, Reward: 116.62136978656054
Step: 89000, Reward: 115.20380445569754
Step: 90000, Reward: 146.47127106785774
Step: 91000, Reward: 202.48521083593369
Step: 92000, Reward: 169.39603671431541
Step: 93000, Reward: 178.72619313001633
Step: 94000, Reward: 122.81028346717358
Step: 95000, Reward: 256.1832842156291
Step: 96000, Reward: 108.27354548871517
Step: 97000, Reward: 138.3591757491231
Step: 98000, Reward: 160.14250420033932
Step: 99000, Reward: 81.3841040506959
Step: 100000, Reward: 241.87007727473974
Step: 101000, Reward: 113.95974611490965
Step: 102000, Reward: 229.76592335104942
Step: 103000, Reward: 194.61872233450413
Step: 104000, Reward: 251.88572207838297
Step: 105000, Reward: 146.28677442669868
Step: 106000, Reward: 221.48938313871622
Step: 107000, Reward: 213.24294670671225
Step: 108000, Reward: 227.2927730306983
Step: 109000, Reward: 152.62340159714222
Step: 110000, Reward: 206.3066095933318
Step: 111000, Reward: 201.11719657480717
Step: 112000, Reward: 169.87222328782082
Step: 113000, Reward: 178.0323435589671
Step: 114000, Reward: 265.63628473877907
Step: 115000, Reward: 296.48104471713305
Step: 116000, Reward: 335.58079309761524
Step: 117000, Reward: 102.4073933288455
Step: 118000, Reward: 244.08261154592037
Step: 119000, Reward: 288.0649867877364
Step: 120000, Reward: 230.08021235466003
Step: 121000, Reward: 322.7158785611391
Step: 122000, Reward: 228.47406370937824
Step: 123000, Reward: 278.427020534873
Step: 124000, Reward: 295.18025409430265
Step: 125000, Reward: 192.997087366879
Step: 126000, Reward: 216.6120114773512
Step: 127000, Reward: 299.01154761761427
Step: 128000, Reward: 163.97695123404264
Step: 129000, Reward: 306.6949151828885
Step: 130000, Reward: 347.9283542782068
Step: 131000, Reward: 262.7851705774665
Step: 132000, Reward: 182.47216175496578
Step: 133000, Reward: 237.01573340594769
Step: 134000, Reward: 333.8023272976279
Step: 135000, Reward: 189.52720306813717
Step: 136000, Reward: 173.87143573909998
Step: 137000, Reward: 201.14036303013563
Step: 138000, Reward: 268.7191900908947
Step: 139000, Reward: 243.12139362096786
Step: 140000, Reward: 336.8766069114208
Step: 141000, Reward: 247.5475091934204
Step: 142000, Reward: 135.0482963770628
Step: 143000, Reward: 301.1256995946169
Step: 144000, Reward: 173.5767118036747
Step: 145000, Reward: 308.6977749764919
Step: 146000, Reward: 285.2375548258424
Step: 147000, Reward: 302.2245833724737
Step: 148000, Reward: 281.2313694655895
Step: 149000, Reward: 265.4293989017606
Step: 150000, Reward: 200.56114946305752
Step: 151000, Reward: 276.70399287343025
Step: 152000, Reward: 166.22960682213306
Step: 153000, Reward: 240.60884069651365
Step: 154000, Reward: 170.40525822341442
Step: 155000, Reward: 177.51992927491665
Step: 156000, Reward: 124.18801309168339
Step: 157000, Reward: 212.08695823699236
Step: 158000, Reward: 343.28658904880285
Step: 159000, Reward: 357.0712179541588
Step: 160000, Reward: 287.43294943124056
Step: 161000, Reward: 292.59359883517027
Step: 162000, Reward: 368.07565270364285
Step: 163000, Reward: 263.3968056961894
Step: 164000, Reward: 278.1907859519124
Step: 165000, Reward: 244.30338564515114
Step: 166000, Reward: 251.1799501851201
Step: 167000, Reward: 208.79174837470055
Step: 168000, Reward: 359.90410500764847
Step: 169000, Reward: 374.1668077260256
Step: 170000, Reward: 223.79564412683249
Step: 171000, Reward: 254.00776677578688
Step: 172000, Reward: 313.66761366277933
Step: 173000, Reward: 296.78821666538715
Step: 174000, Reward: 297.9069344177842
Step: 175000, Reward: 332.16579562425613
Step: 176000, Reward: 213.5925716459751
Step: 177000, Reward: 342.8218966424465
Step: 178000, Reward: 186.47586981207132
Step: 179000, Reward: 226.84068296849728
Step: 180000, Reward: 348.80792105942965
Step: 181000, Reward: 259.4654243066907
Step: 182000, Reward: 317.54127860069275
Step: 183000, Reward: 358.16376550495625
Step: 184000, Reward: 349.71650019288063
Step: 185000, Reward: 316.50415087491274
Step: 186000, Reward: 281.063131056726
Step: 187000, Reward: 300.3603953719139
Step: 188000, Reward: 269.4395966306329
Step: 189000, Reward: 330.34052687883377
Step: 190000, Reward: 274.0937684625387
