Step: 1000, Reward: -242.37532383203506
Step: 2000, Reward: -339.8144299983978
Step: 3000, Reward: -505.0727525949478
Step: 4000, Reward: -274.1293464899063
Step: 5000, Reward: -507.39265835285187
Step: 6000, Reward: -98.18041956424713
Step: 7000, Reward: -3.0939339995384216
Step: 8000, Reward: -168.16327077150345
Step: 9000, Reward: -170.57571572065353
Step: 10000, Reward: -120.27798616886139
Step: 11000, Reward: -102.06574875116348
Step: 12000, Reward: -972.5038641095161
Step: 13000, Reward: -542.8817536234856
Step: 14000, Reward: -552.2239067554474
Step: 15000, Reward: -269.657605484128
Step: 16000, Reward: -116.54302135109901
Step: 17000, Reward: -573.1509194970131
Step: 18000, Reward: -100.83803182840347
Step: 19000, Reward: -231.5579710006714
Step: 20000, Reward: -20.91326802968979
