Step: 1000, Reward: -138.60375179350376
Step: 2000, Reward: -357.21519947052
Step: 3000, Reward: -465.8291596621275
Step: 4000, Reward: 24.99341881275177
Step: 5000, Reward: -333.01749736070633
Step: 6000, Reward: -63.96903611719608
Step: 7000, Reward: -69.58086930215359
Step: 8000, Reward: 49.51820281147957
Step: 9000, Reward: 25.026554346084595
Step: 10000, Reward: 57.92237740755081
Step: 11000, Reward: -90.81755422055721
Step: 12000, Reward: -17.06723415851593
Step: 13000, Reward: -34.598612785339355
Step: 14000, Reward: 74.88225290179253
Step: 15000, Reward: -68.41154418885708
Step: 16000, Reward: -78.83020827174187
Step: 17000, Reward: 39.997455194592476
Step: 18000, Reward: -28.199771374464035
Step: 19000, Reward: -98.04437804222107
Step: 20000, Reward: 27.542504504323006
Step: 21000, Reward: 30.97781975567341
Step: 22000, Reward: 34.16625951230526
Step: 23000, Reward: 29.123792573809624
Step: 24000, Reward: -73.48524104058743
Step: 25000, Reward: 2.6861976236104965
Step: 26000, Reward: 38.66232666373253
Step: 27000, Reward: 46.72504609823227
Step: 28000, Reward: -0.6402592062950134
Step: 29000, Reward: -1242.0282666832209
Step: 30000, Reward: -34.79361733794212
Step: 31000, Reward: -57.25921197235584
Step: 32000, Reward: 51.324944481253624
Step: 33000, Reward: 70.73418885469437
Step: 34000, Reward: 33.06795214116573
Step: 35000, Reward: 60.82510940730572
Step: 36000, Reward: 100.90357865393162
Step: 37000, Reward: -62.532091334462166
Step: 38000, Reward: 110.66170933097601
Step: 39000, Reward: 4.686698138713837
Step: 40000, Reward: -2.70564067363739
Step: 41000, Reward: 39.19031769037247
Step: 42000, Reward: -31.497029453516006
