Step: 1000, Reward: 38.82982534170151
Step: 2000, Reward: -8.683597221970558
Step: 3000, Reward: -0.8059643507003784
Step: 4000, Reward: -16.197669699788094
Step: 5000, Reward: 53.76565480232239
Step: 6000, Reward: 13.161114692687988
Step: 7000, Reward: 70.35631892085075
Step: 8000, Reward: -16.409817278385162
Step: 9000, Reward: 35.93704500794411
Step: 10000, Reward: 59.71406239271164
Step: 11000, Reward: -0.2702510803937912
Step: 12000, Reward: 49.93606590479612
Step: 13000, Reward: 64.36534420400858
Step: 14000, Reward: 22.740681618452072
