Step: 1000, Reward: -12.233359560370445
Step: 2000, Reward: 1.5384696274995804
Step: 3000, Reward: -55.789088286459446
Step: 4000, Reward: -50.85426288843155
Step: 5000, Reward: -46.427226126194
Step: 6000, Reward: -4.0385685712099075
Step: 7000, Reward: -18.636019229888916
Step: 8000, Reward: 106.21275602281094
Step: 9000, Reward: -58.29140551388264
Step: 10000, Reward: -28.257388055324554
Step: 11000, Reward: -56.87526626884937
Step: 12000, Reward: -41.856349408626556
Step: 13000, Reward: -18.59297566115856
Step: 14000, Reward: -265.99254322052
Step: 15000, Reward: -93.88858376443386
Step: 16000, Reward: -71.4377027451992
Step: 17000, Reward: -209.70122975111008
Step: 18000, Reward: 49.48014235496521
Step: 19000, Reward: -207.43953838944435
Step: 20000, Reward: 89.76416799426079
