Step: 1000, Reward: 23.03597217798233
Step: 2000, Reward: 75.13000429421663
Step: 3000, Reward: -64.47782754898071
Step: 4000, Reward: 72.20366422832012
Step: 5000, Reward: 29.629033222794533
Step: 6000, Reward: -2.4608634263277054
Step: 7000, Reward: -33.349563747644424
Step: 8000, Reward: 4.73877227306366
Step: 9000, Reward: 18.367551386356354
Step: 10000, Reward: 74.97103024274111
Step: 11000, Reward: -292.8121585249901
Step: 12000, Reward: -95.41259391605854
Step: 13000, Reward: 73.53923965990543
Step: 14000, Reward: 84.04638938605785
Step: 15000, Reward: 8.638965353369713
Step: 16000, Reward: -103.29400736093521
Step: 17000, Reward: -52.765146762132645
Step: 18000, Reward: 52.21419508755207
Step: 19000, Reward: 36.82253411412239
Step: 20000, Reward: 46.57057711482048
Step: 21000, Reward: -63.310992419719696
Step: 22000, Reward: -9.330403164029121
Step: 23000, Reward: -24.256880693137646
Step: 24000, Reward: 47.77679943665862
Step: 25000, Reward: 52.70085236430168
Step: 26000, Reward: -0.409916952252388
Step: 27000, Reward: -56.9756134301424
Step: 28000, Reward: -160.5145677626133
