Step: 1000, Reward: -298.14302492141724
Step: 2000, Reward: -421.56641468405724
Step: 3000, Reward: -370.55220252275467
Step: 4000, Reward: -257.0880977213383
Step: 5000, Reward: -388.6522260904312
Step: 6000, Reward: -219.30408483743668
Step: 7000, Reward: -1300.0504176318645
Step: 8000, Reward: -1409.704593449831
Step: 9000, Reward: -1537.5682744085789
Step: 10000, Reward: -2027.8205813765526
Step: 11000, Reward: -1329.2520473599434
Step: 12000, Reward: -2204.980453312397
Step: 13000, Reward: -2143.2702119350433
Step: 14000, Reward: -1630.3309704512358
Step: 15000, Reward: -1817.116681098938
Step: 16000, Reward: -1229.7143379300833
Step: 17000, Reward: -1648.8640272319317
Step: 18000, Reward: -1910.5064831376076
Step: 19000, Reward: -1060.5874955505133
Step: 20000, Reward: -2263.681013971567
Step: 21000, Reward: -1224.4308092296124
Step: 22000, Reward: -1689.8776870369911
Step: 23000, Reward: -1385.0484597086906
Step: 24000, Reward: -1890.9418131709099
Step: 25000, Reward: -1951.7728242874146
Step: 26000, Reward: -2286.3863254785538
Step: 27000, Reward: -1868.5003091320395
Step: 28000, Reward: -1881.6130571365356
Step: 29000, Reward: -1138.1603979468346
Step: 30000, Reward: -1784.725254714489
Step: 31000, Reward: -1814.6791937500238
Step: 32000, Reward: -1978.4411860108376
Step: 33000, Reward: -2019.1448215842247
Step: 34000, Reward: -1454.0145181715488
Step: 35000, Reward: -1843.9767693430185
Step: 36000, Reward: -1319.846146389842
Step: 37000, Reward: -1188.7043407559395
Step: 38000, Reward: -1928.4008898139
Step: 39000, Reward: -2135.275584489107
Step: 40000, Reward: -1776.292755663395
Step: 41000, Reward: -1806.9297750592232
Step: 42000, Reward: -1622.1409371197224
Step: 43000, Reward: -1125.9190498292446
Step: 44000, Reward: -2165.3693685233593
Step: 45000, Reward: -1541.528716802597
Step: 46000, Reward: -2027.4358441531658
Step: 47000, Reward: -2144.771080568433
Step: 48000, Reward: -1668.874322026968
Step: 49000, Reward: -1157.8566849529743
Step: 50000, Reward: -2219.686313480139
Step: 51000, Reward: -1985.959570273757
Step: 52000, Reward: -1872.7097524404526
Step: 53000, Reward: -2096.1550241559744
Step: 54000, Reward: -2414.064923107624
Step: 55000, Reward: -2392.3850025236607
Step: 56000, Reward: -1439.697318956256
Step: 57000, Reward: -2068.9179804623127
Step: 58000, Reward: -2154.420023083687
Step: 59000, Reward: -1586.5839923471212
Step: 60000, Reward: -1573.7075759619474
Step: 61000, Reward: -2346.7682383060455
Step: 62000, Reward: -1162.690823122859
Step: 63000, Reward: -459.32507260143757
Step: 64000, Reward: -1077.8768458366394
Step: 65000, Reward: -892.6329692006111
Step: 66000, Reward: -755.181736946106
Step: 67000, Reward: -453.2923322916031
Step: 68000, Reward: -9817.16532766819
Step: 69000, Reward: -612.8294396400452
Step: 70000, Reward: -304.5632381364703
Step: 71000, Reward: -1130.022797524929
Step: 72000, Reward: -740.7208583056927
Step: 73000, Reward: -392.78230544924736
Step: 74000, Reward: -850.6213319897652
Step: 75000, Reward: -398.36079382896423
Step: 76000, Reward: -435.63667792081833
Step: 77000, Reward: -193.87171816825867
Step: 78000, Reward: -1095.032735824585
Step: 79000, Reward: -9753.245115920901
Step: 80000, Reward: -253.84900206327438
Step: 81000, Reward: -406.8874617218971
Step: 82000, Reward: -670.7313971817493
Step: 83000, Reward: -580.257375344634
Step: 84000, Reward: -9760.1641048491
Step: 85000, Reward: -268.575536608696
Step: 86000, Reward: -835.7907291054726
Step: 87000, Reward: -472.67135336250067
Step: 88000, Reward: -655.4408295452595
Step: 89000, Reward: -362.57229375839233
Step: 90000, Reward: -492.4624306336045
Step: 91000, Reward: -107.4217918664217
Step: 92000, Reward: -382.6285836547613
Step: 93000, Reward: -235.02263596653938
Step: 94000, Reward: -286.0476227104664
Step: 95000, Reward: -808.5376306474209
Step: 96000, Reward: -372.01871364563704
Step: 97000, Reward: -548.8617220297456
Step: 98000, Reward: -664.1445558071136
Step: 99000, Reward: -3322.6246151328087
Step: 100000, Reward: -6397.632547557354
Step: 101000, Reward: -666.478068292141
Step: 102000, Reward: -9462.258416950703
Step: 103000, Reward: -228.02098612487316
Step: 104000, Reward: -3299.5141784250736
Step: 105000, Reward: -6409.387378573418
Step: 106000, Reward: -250.51423838734627
Step: 107000, Reward: -3863.509431064129
Step: 108000, Reward: -6232.316180437803
Step: 109000, Reward: -3328.7276748120785
Step: 110000, Reward: -6743.033916175365
Step: 111000, Reward: -9800.22219133377
Step: 112000, Reward: -849.3314077556133
Step: 113000, Reward: -443.3776598125696
Step: 114000, Reward: -255.77236615121365
Step: 115000, Reward: -141.43446281552315
Step: 116000, Reward: -759.0771149992943
Step: 117000, Reward: -307.23922953009605
Step: 118000, Reward: -217.84196415543556
Step: 119000, Reward: -350.87539269030094
Step: 120000, Reward: -294.9341278076172
Step: 121000, Reward: -1054.6507543325424
Step: 122000, Reward: -533.9128504693508
Step: 123000, Reward: -270.43908309936523
Step: 124000, Reward: -450.6682383418083
Step: 125000, Reward: -276.12842243909836
Step: 126000, Reward: -513.2639860510826
Step: 127000, Reward: -648.5681041479111
Step: 128000, Reward: -468.70733696222305
Step: 129000, Reward: -648.505039691925
Step: 130000, Reward: -178.52171078324318
Step: 131000, Reward: -454.9426980614662
Step: 132000, Reward: -466.2772780060768
Step: 133000, Reward: -1309.1562921404839
Step: 134000, Reward: -592.3733325600624
Step: 135000, Reward: -365.0739511549473
Step: 136000, Reward: -743.4701513051987
Step: 137000, Reward: -471.02765169739723
Step: 138000, Reward: -127.62931075692177
Step: 139000, Reward: -131.03254547715187
Step: 140000, Reward: -657.0769583880901
Step: 141000, Reward: -9534.34844326973
Step: 142000, Reward: -478.2514860033989
Step: 143000, Reward: -2988.9593172371387
Step: 144000, Reward: -6755.924292802811
Step: 145000, Reward: -279.91669565439224
Step: 146000, Reward: -1153.8731216192245
Step: 147000, Reward: -9677.708055377007
Step: 148000, Reward: -480.399230659008
Step: 149000, Reward: -501.2384058535099
Step: 150000, Reward: -724.9192970991135
Step: 151000, Reward: -993.1424887180328
Step: 152000, Reward: -577.626689940691
Step: 153000, Reward: -3066.616991788149
Step: 154000, Reward: -6730.954894989729
Step: 155000, Reward: -766.8514039516449
Step: 156000, Reward: -368.74788826704025
Step: 157000, Reward: -482.0685465037823
Step: 158000, Reward: -393.0322426855564
Step: 159000, Reward: -199.62113717198372
Step: 160000, Reward: -417.90437376499176
Step: 161000, Reward: -612.5535068511963
Step: 162000, Reward: -691.186052441597
Step: 163000, Reward: -577.541489481926
Step: 164000, Reward: -299.64745464921
Step: 165000, Reward: -327.46126994490623
Step: 166000, Reward: -331.33233773708344
Step: 167000, Reward: -213.8402065038681
Step: 168000, Reward: -711.9491701722145
Step: 169000, Reward: -767.6522599458694
Step: 170000, Reward: -479.84238308668137
Step: 171000, Reward: -219.66511511802673
Step: 172000, Reward: -0.9795938432216644
Step: 173000, Reward: -187.5759683251381
Step: 174000, Reward: -458.6349949389696
Step: 175000, Reward: -955.0179946422577
Step: 176000, Reward: -705.1316718459129
Step: 177000, Reward: -9952.114481568336
Step: 178000, Reward: -656.2660548686981
Step: 179000, Reward: -9715.301969617605
Step: 180000, Reward: -482.92289370298386
Step: 181000, Reward: -3319.068390905857
Step: 182000, Reward: -6857.171266913414
Step: 183000, Reward: -370.62161031365395
Step: 184000, Reward: -9482.052300065756
Step: 185000, Reward: -415.0433703660965
Step: 186000, Reward: -359.9407870769501
Step: 187000, Reward: -190.95602138340473
Step: 188000, Reward: -291.1410731971264
Step: 189000, Reward: -554.2436745166779
Step: 190000, Reward: -423.18830716609955
Step: 191000, Reward: -441.66829612851143
Step: 192000, Reward: -419.969978377223
Step: 193000, Reward: -436.4420199394226
Step: 194000, Reward: -216.464340031147
Step: 195000, Reward: -1128.9229702949524
Step: 196000, Reward: -64.62251606583595
Step: 197000, Reward: -74.49650324881077
