Step: 1000, Reward: -271.4728253930807
Step: 2000, Reward: -366.11586210876703
Step: 3000, Reward: -434.2461846768856
Step: 4000, Reward: -198.3282457664609
Step: 5000, Reward: -110.30637648701668
Step: 6000, Reward: -535.1943719983101
Step: 7000, Reward: -356.8231107071042
Step: 8000, Reward: -564.1870419457555
Step: 9000, Reward: -256.89450500905514
Step: 10000, Reward: -256.70457822084427
Step: 11000, Reward: -530.8906459212303
Step: 12000, Reward: -462.47723364830017
Step: 13000, Reward: -359.592627607286
Step: 14000, Reward: -597.9144135043025
Step: 15000, Reward: -175.6536387205124
Step: 16000, Reward: -348.4563890993595
Step: 17000, Reward: -368.9275986775756
Step: 18000, Reward: -259.76322814822197
Step: 19000, Reward: -119.78296745568514
Step: 20000, Reward: -503.19354155659676
Step: 21000, Reward: -102.318682461977
Step: 22000, Reward: -834.5061547756195
Step: 23000, Reward: -580.6190025508404
Step: 24000, Reward: -833.666671872139
Step: 25000, Reward: -320.71728555858135
Step: 26000, Reward: -355.2298558354378
Step: 27000, Reward: -675.2873756513
Step: 28000, Reward: -950.1325927376747
Step: 29000, Reward: -289.8485924601555
Step: 30000, Reward: -211.89765240252018
Step: 31000, Reward: -134.2189163416624
Step: 32000, Reward: -706.1887912750244
Step: 33000, Reward: -46.27953578531742
Step: 34000, Reward: -508.47894501686096
Step: 35000, Reward: -620.3043845891953
Step: 36000, Reward: -469.50051513314247
Step: 37000, Reward: -190.38273566961288
Step: 38000, Reward: -167.4687961935997
Step: 39000, Reward: -550.2419238239527
Step: 40000, Reward: -607.3655398488045
Step: 41000, Reward: -1049.4025501012802
Step: 42000, Reward: -158.71264542639256
Step: 43000, Reward: -379.044743925333
Step: 44000, Reward: -223.11888079345226
Step: 45000, Reward: -310.03892136365175
Step: 46000, Reward: -1138.1107656359673
Step: 47000, Reward: -312.8706418424845
Step: 48000, Reward: -391.11209431290627
Step: 49000, Reward: -261.02054607868195
Step: 50000, Reward: -489.9256170094013
Step: 51000, Reward: -677.7845061793923
Step: 52000, Reward: -154.64917466044426
Step: 53000, Reward: -514.8747212588787
Step: 54000, Reward: -1145.9947350770235
Step: 55000, Reward: -378.9505446180701
Step: 56000, Reward: -1105.659264832735
Step: 57000, Reward: -224.71677565574646
Step: 58000, Reward: -200.21131343394518
Step: 59000, Reward: -705.8249804973602
Step: 60000, Reward: -1375.7773589789867
Step: 61000, Reward: -1632.5088282823563
Step: 62000, Reward: -191.55753779411316
Step: 63000, Reward: -331.692349627614
Step: 64000, Reward: -701.5677217394114
Step: 65000, Reward: -580.132482662797
Step: 66000, Reward: -626.2799391150475
Step: 67000, Reward: -548.5478050559759
Step: 68000, Reward: -1301.5330674648285
Step: 69000, Reward: -419.67577300965786
Step: 70000, Reward: -737.3606953918934
Step: 71000, Reward: -250.80594778060913
Step: 72000, Reward: -306.63558450341225
Step: 73000, Reward: -10.199898540973663
Step: 74000, Reward: -6.781070604920387
Step: 75000, Reward: -565.2844948470592
Step: 76000, Reward: -281.7453210800886
Step: 77000, Reward: -704.5457385405898
Step: 78000, Reward: -130.05990067124367
Step: 79000, Reward: -563.5093490332365
Step: 80000, Reward: -781.4659819453955
Step: 81000, Reward: -553.7161834686995
Step: 82000, Reward: -177.6565201729536
Step: 83000, Reward: -93.87009640783072
Step: 84000, Reward: -85.89152229577303
Step: 85000, Reward: 6.157886154949665
Step: 86000, Reward: -17.253116711974144
Step: 87000, Reward: 12.805972322821617
Step: 88000, Reward: -134.93039439618587
Step: 89000, Reward: 10.393442824482918
Step: 90000, Reward: -610.4268971830606
Step: 91000, Reward: -225.7007803246379
Step: 92000, Reward: 59.156322218477726
Step: 93000, Reward: -168.0986992418766
Step: 94000, Reward: 52.69505439326167
Step: 95000, Reward: 27.46192016452551
Step: 96000, Reward: 49.31154105812311
Step: 97000, Reward: 56.024066515266895
Step: 98000, Reward: 51.40581210702658
Step: 99000, Reward: 60.50680746138096
Step: 100000, Reward: -66.85285989940166
Step: 101000, Reward: 144.01146376878023
Step: 102000, Reward: 109.27086456865072
Step: 103000, Reward: 5.979503586888313
Step: 104000, Reward: 84.2265061289072
Step: 105000, Reward: 67.55714666098356
Step: 106000, Reward: 53.476079024374485
Step: 107000, Reward: 66.66318687051535
Step: 108000, Reward: 46.411516197025776
