Step: 1000, Reward: -161.02194300293922
Step: 2000, Reward: -415.0255434811115
Step: 3000, Reward: -521.444757014513
Step: 4000, Reward: -120.30528691411018
Step: 5000, Reward: -184.65396891534328
Step: 6000, Reward: -94.77226155996323
Step: 7000, Reward: -30.991749450564384
Step: 8000, Reward: -33.002959571778774
Step: 9000, Reward: -2.3204743191599846
Step: 10000, Reward: -169.2732000425458
Step: 11000, Reward: 24.348527923226357
Step: 12000, Reward: 12.80592493712902
Step: 13000, Reward: 102.20382952317595
Step: 14000, Reward: 112.99984368681908
Step: 15000, Reward: 14.798922665417194
Step: 16000, Reward: -51.12284417450428
Step: 17000, Reward: 120.46921548247337
Step: 18000, Reward: 51.72446998953819
Step: 19000, Reward: 195.3985930904746
Step: 20000, Reward: 25.607508651912212
Step: 21000, Reward: 31.48999148607254
Step: 22000, Reward: 1.4262455329298973
Step: 23000, Reward: 193.4199750572443
Step: 24000, Reward: 220.04072631150484
Step: 25000, Reward: 119.23232898116112
Step: 26000, Reward: 165.03750674426556
Step: 27000, Reward: 191.93500911444426
Step: 28000, Reward: 253.66718922555447
Step: 29000, Reward: 38.39230039715767
Step: 30000, Reward: 167.5578211992979
Step: 31000, Reward: 187.00786043703556
Step: 32000, Reward: 122.33064685761929
Step: 33000, Reward: 206.385921895504
Step: 34000, Reward: 54.92154426127672
Step: 35000, Reward: 196.63713932409883
Step: 36000, Reward: 204.5635797381401
Step: 37000, Reward: 215.28589632362127
Step: 38000, Reward: 210.52957667037845
Step: 39000, Reward: 250.01236723735929
Step: 40000, Reward: 254.1704504415393
Step: 41000, Reward: 258.3163916096091
Step: 42000, Reward: 313.5595162808895
Step: 43000, Reward: 413.28585769981146
Step: 44000, Reward: 154.64197427779436
Step: 45000, Reward: 399.75955252349377
Step: 46000, Reward: 240.44758006185293
Step: 47000, Reward: 224.05517974495888
Step: 48000, Reward: 307.9748700633645
Step: 49000, Reward: 320.06046821177006
Step: 50000, Reward: 386.372730858624
Step: 51000, Reward: 271.51937747374177
Step: 52000, Reward: 199.72774313390255
Step: 53000, Reward: 167.00609943270683
Step: 54000, Reward: 268.95808181911707
Step: 55000, Reward: 294.42143358290195
Step: 56000, Reward: 206.06549894809723
Step: 57000, Reward: 195.01158660650253
Step: 58000, Reward: 508.0851450264454
Step: 59000, Reward: 308.019508510828
Step: 60000, Reward: 214.24106665700674
Step: 61000, Reward: 290.8195534572005
Step: 62000, Reward: 256.85502076894045
Step: 63000, Reward: 323.22382755577564
Step: 64000, Reward: 376.0968149974942
Step: 65000, Reward: 226.54272413998842
Step: 66000, Reward: 206.6861923187971
Step: 67000, Reward: 333.08348455280066
Step: 68000, Reward: 277.0811701640487
Step: 69000, Reward: 224.88616683334112
Step: 70000, Reward: 359.55692438036203
Step: 71000, Reward: 386.0746758505702
Step: 72000, Reward: 363.86098451539874
Step: 73000, Reward: 271.03733102977276
Step: 74000, Reward: 274.36223141103983
Step: 75000, Reward: 338.7887831404805
Step: 76000, Reward: 232.77341355383396
Step: 77000, Reward: 236.1294593140483
Step: 78000, Reward: 221.38362531363964
Step: 79000, Reward: 250.44030672684312
Step: 80000, Reward: 394.97229858487844
Step: 81000, Reward: 333.9338522031903
Step: 82000, Reward: 283.9252619072795
Step: 83000, Reward: 306.95022740215063
Step: 84000, Reward: 388.2163558527827
Step: 85000, Reward: 401.66417279839516
Step: 86000, Reward: 391.8787656277418
Step: 87000, Reward: 289.8629006072879
Step: 88000, Reward: 232.01280427351594
Step: 89000, Reward: 264.05331702530384
Step: 90000, Reward: 332.3639007434249
Step: 91000, Reward: 302.7990753278136
Step: 92000, Reward: 333.1258765757084
Step: 93000, Reward: 296.8249061256647
Step: 94000, Reward: 493.4789133518934
Step: 95000, Reward: 429.69456266611814
Step: 96000, Reward: 330.09339544922113
Step: 97000, Reward: 215.76359159499407
Step: 98000, Reward: 392.6248347312212
Step: 99000, Reward: 410.3653895109892
Step: 100000, Reward: 432.64069851115346
Step: 101000, Reward: 460.5116886124015
Step: 102000, Reward: 361.01200131326914
Step: 103000, Reward: 473.12935938313603
Step: 104000, Reward: 284.01898032426834
Step: 105000, Reward: 315.34474378824234
Step: 106000, Reward: 326.9974930509925
Step: 107000, Reward: 426.4166646823287
Step: 108000, Reward: 294.62377697974443
Step: 109000, Reward: 432.684984665364
Step: 110000, Reward: 208.8324008435011
Step: 111000, Reward: 400.96682300791144
Step: 112000, Reward: 409.9075888544321
Step: 113000, Reward: 277.2543072924018
Step: 114000, Reward: 414.63500015065074
Step: 115000, Reward: 409.29351534321904
Step: 116000, Reward: 211.9395022019744
Step: 117000, Reward: 375.3282170891762
Step: 118000, Reward: 239.24172957241535
Step: 119000, Reward: 255.10083657503128
Step: 120000, Reward: 371.06293135508895
Step: 121000, Reward: 420.6267407052219
Step: 122000, Reward: 250.92716392874718
Step: 123000, Reward: 212.34033136069775
Step: 124000, Reward: 248.6180779337883
Step: 125000, Reward: 262.74386743083596
Step: 126000, Reward: 416.44733361154795
Step: 127000, Reward: 334.9024871215224
Step: 128000, Reward: 475.7185798548162
Step: 129000, Reward: 216.78635390102863
Step: 130000, Reward: 244.42581831663847
Step: 131000, Reward: 238.8644270002842
Step: 132000, Reward: 270.31750240176916
Step: 133000, Reward: 204.24008153378963
Step: 134000, Reward: 149.84369087964296
Step: 135000, Reward: 269.3477779701352
Step: 136000, Reward: 331.6935949586332
Step: 137000, Reward: -56.8395817913115
Step: 138000, Reward: 248.06657472252846
Step: 139000, Reward: 193.27164794504642
Step: 140000, Reward: 258.6394359059632
Step: 141000, Reward: 361.9888828918338
Step: 142000, Reward: 229.78002416342497
Step: 143000, Reward: 223.40338669344783
Step: 144000, Reward: 343.65202840417624
Step: 145000, Reward: 164.68932230770588
Step: 146000, Reward: 291.9265017360449
Step: 147000, Reward: 397.06428399682045
Step: 148000, Reward: 316.9652343019843
Step: 149000, Reward: 305.5351116657257
Step: 150000, Reward: 314.95988197624683
Step: 151000, Reward: -92.73256251960993
Step: 152000, Reward: 376.18370348215103
Step: 153000, Reward: 272.43579768389463
Step: 154000, Reward: -31.449560165405273
Step: 155000, Reward: 323.79335460066795
Step: 156000, Reward: 251.58750284463167
Step: 157000, Reward: 204.31731840223074
Step: 158000, Reward: 263.85559033602476
Step: 159000, Reward: 304.8580211773515
Step: 160000, Reward: 207.29071159660816
Step: 161000, Reward: 228.78877618908882
Step: 162000, Reward: 171.57529716193676
Step: 163000, Reward: 203.2530586346984
Step: 164000, Reward: 353.1648772805929
Step: 165000, Reward: 241.11515069752932
Step: 166000, Reward: 277.7816606089473
Step: 167000, Reward: 259.672339245677
Step: 168000, Reward: 223.21257688105106
Step: 169000, Reward: 199.36012564599514
Step: 170000, Reward: 287.3752935193479
Step: 171000, Reward: -122.05422203987837
Step: 172000, Reward: 170.6219012066722
Step: 173000, Reward: 165.05864626169205
Step: 174000, Reward: -104.10211738944054
Step: 175000, Reward: 252.944339543581
Step: 176000, Reward: 402.4192863628268
Step: 177000, Reward: 220.1649652570486
Step: 178000, Reward: 226.81347063183784
Step: 179000, Reward: 256.8330936618149
Step: 180000, Reward: 259.6553977429867
Step: 181000, Reward: 339.65592616796494
Step: 182000, Reward: 297.61341919749975
Step: 183000, Reward: 266.7891143336892
Step: 184000, Reward: 285.10370526462793
Step: 185000, Reward: 220.54185868799686
Step: 186000, Reward: 309.4605667926371
Step: 187000, Reward: 269.6256562843919
Step: 188000, Reward: 186.14321446418762
Step: 189000, Reward: 231.21947315335274
Step: 190000, Reward: 230.16681914404035
Step: 191000, Reward: 151.13443318754435
Step: 192000, Reward: 261.86516301333904
Step: 193000, Reward: 414.09025856107473
Step: 194000, Reward: 321.56479239463806
Step: 195000, Reward: 173.28462468087673
Step: 196000, Reward: 34.199973188340664
Step: 197000, Reward: 304.3475663289428
Step: 198000, Reward: 280.1292200386524
Step: 199000, Reward: 267.0440604239702
Step: 200000, Reward: 84.80831455439329
Step: 201000, Reward: -73.30517473071814
Step: 202000, Reward: 223.2184545919299
Step: 203000, Reward: 411.3426824994385
Step: 204000, Reward: 415.8883846178651
Step: 205000, Reward: 291.7026199102402
Step: 206000, Reward: 307.05149319395423
Step: 207000, Reward: 326.84705428779125
Step: 208000, Reward: 249.08498706668615
Step: 209000, Reward: 422.72986347973347
Step: 210000, Reward: 515.3382618203759
Step: 211000, Reward: 348.008038662374
Step: 212000, Reward: 292.15230505913496
