Step: 1000, Reward: 7.119211792945862
Step: 2000, Reward: -129.63499630987644
Step: 3000, Reward: -312.5472146421671
Step: 4000, Reward: -243.4016406983137
Step: 5000, Reward: -165.7568657398224
Step: 6000, Reward: 37.229627907276154
Step: 7000, Reward: 43.496148236095905
Step: 8000, Reward: -314.2709789276123
Step: 9000, Reward: -1000.3026087731123
Step: 10000, Reward: -9945.927262872458
Step: 11000, Reward: -1042.8757522851229
Step: 12000, Reward: 11.585049070417881
Step: 13000, Reward: -326.82954655587673
Step: 14000, Reward: 41.73195355385542
Step: 15000, Reward: -299.99609883129597
Step: 16000, Reward: -172.43107794225216
Step: 17000, Reward: -52.39429309591651
Step: 18000, Reward: -264.13379918038845
Step: 19000, Reward: -3.646180957555771
Step: 20000, Reward: 69.99612417817116
Step: 21000, Reward: -229.5457539856434
Step: 22000, Reward: -9221.104217752814
Step: 23000, Reward: 100.8870866894722
Step: 24000, Reward: -8321.155048467219
Step: 25000, Reward: -71.20447520911694
Step: 26000, Reward: -542.9304981827736
Step: 27000, Reward: -1054.9877565950155
Step: 28000, Reward: -860.6615474224091
Step: 29000, Reward: -1168.7945106327534
Step: 30000, Reward: -1004.3449985086918
Step: 31000, Reward: -1033.210348457098
Step: 32000, Reward: -843.9050603061914
Step: 33000, Reward: -1107.1818287670612
Step: 34000, Reward: -1085.1807928681374
Step: 35000, Reward: -936.874679967761
Step: 36000, Reward: -1194.1258058547974
Step: 37000, Reward: -979.8690892904997
Step: 38000, Reward: -1522.4588653445244
Step: 39000, Reward: -1179.2537012025714
Step: 40000, Reward: -597.6455833464861
Step: 41000, Reward: -1177.696346282959
Step: 42000, Reward: -1161.1267944425344
Step: 43000, Reward: -1071.7692648768425
Step: 44000, Reward: -1154.765017569065
Step: 45000, Reward: -473.3234213292599
Step: 46000, Reward: -699.2709283083677
Step: 47000, Reward: -391.3157436847687
Step: 48000, Reward: -302.3302697688341
Step: 49000, Reward: -603.3062175065279
Step: 50000, Reward: -563.1448394209146
Step: 51000, Reward: -261.3168784826994
Step: 52000, Reward: -159.98272278904915
Step: 53000, Reward: -312.5185647904873
Step: 54000, Reward: -9217.05321083963
Step: 55000, Reward: -310.1059870123863
Step: 56000, Reward: -74.55351465940475
Step: 57000, Reward: -205.0537304803729
Step: 58000, Reward: 53.93695896118879
Step: 59000, Reward: 61.644118420779705
Step: 60000, Reward: 58.889056138694286
Step: 61000, Reward: -295.82589980214834
Step: 62000, Reward: -9361.442582249641
Step: 63000, Reward: -158.42003928124905
Step: 64000, Reward: -183.25186094641685
Step: 65000, Reward: -317.17098248004913
Step: 66000, Reward: -5.744899734854698
Step: 67000, Reward: -258.25694206357
Step: 68000, Reward: -32.074468076229095
Step: 69000, Reward: -203.70478059351444
Step: 70000, Reward: -161.63994532823563
Step: 71000, Reward: -147.88920885324478
Step: 72000, Reward: -326.9474248737097
Step: 73000, Reward: -117.876400642097
Step: 74000, Reward: 0.44252511858940125
Step: 75000, Reward: -331.8426211774349
Step: 76000, Reward: 40.27260409295559
Step: 77000, Reward: 95.49387119710445
Step: 78000, Reward: -102.77657496929169
Step: 79000, Reward: -9342.359648004174
Step: 80000, Reward: 143.8099261522293
Step: 81000, Reward: -27.664797723293304
Step: 82000, Reward: -53.055467277765274
Step: 83000, Reward: -365.08293494582176
Step: 84000, Reward: -215.15780439972878
Step: 85000, Reward: -95.35523460432887
Step: 86000, Reward: -92.90683328732848
Step: 87000, Reward: -198.844203338027
Step: 88000, Reward: -109.61002397537231
Step: 89000, Reward: -181.3024007678032
Step: 90000, Reward: -132.1243252903223
Step: 91000, Reward: -23.184087112545967
Step: 92000, Reward: -9463.364753320813
Step: 93000, Reward: -247.25855806469917
Step: 94000, Reward: -248.54806181788445
Step: 95000, Reward: 36.86922749131918
Step: 96000, Reward: -9319.241073355079
Step: 97000, Reward: 83.51999391615391
Step: 98000, Reward: -181.36154612898827
Step: 99000, Reward: -338.4790639579296
Step: 100000, Reward: -322.8727120757103
Step: 101000, Reward: -331.7880504578352
Step: 102000, Reward: 24.790362268686295
Step: 103000, Reward: 39.78225514292717
Step: 104000, Reward: -191.40104421973228
Step: 105000, Reward: -277.75855699181557
Step: 106000, Reward: -162.67319279909134
Step: 107000, Reward: -326.6972687840462
Step: 108000, Reward: -90.25052861869335
Step: 109000, Reward: -146.0039801299572
Step: 110000, Reward: -167.49830569326878
Step: 111000, Reward: -101.69882227480412
Step: 112000, Reward: -63.60811619460583
Step: 113000, Reward: -236.47546282410622
Step: 114000, Reward: -70.93952377140522
Step: 115000, Reward: -9414.122762843966
Step: 116000, Reward: -9368.408905357122
Step: 117000, Reward: -9096.481171749532
Step: 118000, Reward: -323.2084618359804
Step: 119000, Reward: -303.4966245740652
Step: 120000, Reward: 95.8302854001522
Step: 121000, Reward: -135.40297488868237
Step: 122000, Reward: -75.115179926157
Step: 123000, Reward: -94.11715131998062
Step: 124000, Reward: -351.28706708550453
Step: 125000, Reward: -40.92802828550339
Step: 126000, Reward: -350.44886031746864
Step: 127000, Reward: -208.38219675421715
Step: 128000, Reward: -179.2414992004633
Step: 129000, Reward: -84.74754955619574
Step: 130000, Reward: -125.80458629131317
Step: 131000, Reward: -170.8878998607397
Step: 132000, Reward: -261.26086823642254
Step: 133000, Reward: -89.1334183961153
