Step: 1000, Reward: -12.031545981764793
Step: 2000, Reward: -512.4842092394829
Step: 3000, Reward: -184.5623529329896
Step: 4000, Reward: -45.22261802852154
Step: 5000, Reward: -50.625100180506706
Step: 6000, Reward: 44.69478463009
Step: 7000, Reward: 6.99434007704258
Step: 8000, Reward: -46.458814814686775
Step: 9000, Reward: 107.70315216481686
Step: 10000, Reward: 33.908713929355145
Step: 11000, Reward: 48.11009953916073
Step: 12000, Reward: 153.31954830884933
Step: 13000, Reward: -17.30227582156658
Step: 14000, Reward: -432.0652556270361
Step: 15000, Reward: -342.46973875164986
Step: 16000, Reward: -177.5652814656496
Step: 17000, Reward: -349.03076253831387
Step: 18000, Reward: -258.9404993355274
Step: 19000, Reward: -1901.3074350208044
Step: 20000, Reward: -7789.802430942655
Step: 21000, Reward: -90.96969500556588
Step: 22000, Reward: -91.49568357691169
Step: 23000, Reward: 11.215494155883789
Step: 24000, Reward: 71.68302580714226
Step: 25000, Reward: 31.113932453095913
Step: 26000, Reward: -29.598261952400208
