Step: 1000, Reward: -104.59908954799175
Step: 2000, Reward: -135.0646430104971
Step: 3000, Reward: 0.2135533094406128
Step: 4000, Reward: -291.65231178700924
Step: 5000, Reward: -228.32058539241552
Step: 6000, Reward: 23.69440508633852
Step: 7000, Reward: -204.15875124931335
Step: 8000, Reward: -208.27386337518692
Step: 9000, Reward: -261.0849306732416
Step: 10000, Reward: 65.67117738723755
Step: 11000, Reward: -61.22410473972559
Step: 12000, Reward: 31.689900629222393
Step: 13000, Reward: -288.53882306814194
Step: 14000, Reward: -113.99311914294958
Step: 15000, Reward: -77.35882692039013
Step: 16000, Reward: -19.90572164207697
Step: 17000, Reward: -43.853593565523624
