Step: 1000, Reward: 1.6981609240174294
Step: 2000, Reward: -105.21122919023037
Step: 3000, Reward: -9.962849378585815
Step: 4000, Reward: -86.95978534221649
Step: 5000, Reward: -48.33948269486427
Step: 6000, Reward: 11.135007038712502
Step: 7000, Reward: -60.69867941737175
Step: 8000, Reward: -51.030230939388275
Step: 9000, Reward: -9.32924459129572
Step: 10000, Reward: -55.19874630123377
Step: 11000, Reward: 7.081510774791241
Step: 12000, Reward: -110.97704301774502
Step: 13000, Reward: -85.61585749685764
Step: 14000, Reward: 21.037688337266445
Step: 15000, Reward: -180.81669690459967
Step: 16000, Reward: -59.079640068113804
Step: 17000, Reward: -105.31322668492794
Step: 18000, Reward: -29.654565811157227
Step: 19000, Reward: -80.96663722395897
Step: 20000, Reward: -45.450731948018074
Step: 21000, Reward: -177.90154135227203
Step: 22000, Reward: -60.82180939614773
Step: 23000, Reward: -17.970213875174522
Step: 24000, Reward: -18.399046033620834
Step: 25000, Reward: -107.59594290703535
Step: 26000, Reward: -66.36552192270756
Step: 27000, Reward: -205.84074450284243
