Step: 1000, Reward: 5.625723145902157
Step: 2000, Reward: 21.391046956181526
Step: 3000, Reward: -320.2098726928234
Step: 4000, Reward: -156.50095808506012
Step: 5000, Reward: -170.58141046762466
Step: 6000, Reward: -285.8796413689852
Step: 7000, Reward: -112.60750858485699
Step: 8000, Reward: -125.40496182441711
Step: 9000, Reward: -81.13171014934778
Step: 10000, Reward: -252.49561369419098
Step: 11000, Reward: 49.26892853528261
Step: 12000, Reward: 68.17377284914255
Step: 13000, Reward: 137.2033525183797
Step: 14000, Reward: 53.63736213743687
Step: 15000, Reward: 32.37682870030403
Step: 16000, Reward: 44.03480101376772
Step: 17000, Reward: 100.78612907975912
Step: 18000, Reward: 148.15519116818905
Step: 19000, Reward: 43.28789596259594
Step: 20000, Reward: 61.84925466030836
Step: 21000, Reward: 86.08588390052319
Step: 22000, Reward: 103.51140508800745
Step: 23000, Reward: 101.27119562774897
Step: 24000, Reward: 140.4677942097187
Step: 25000, Reward: 174.293616309762
Step: 26000, Reward: 106.55813542753458
Step: 27000, Reward: 135.76377840340137
Step: 28000, Reward: 147.015087030828
Step: 29000, Reward: 165.78236462548375
Step: 30000, Reward: 133.9246065467596
Step: 31000, Reward: 108.59735625237226
Step: 32000, Reward: 155.7524803802371
Step: 33000, Reward: 158.3618248924613
Step: 34000, Reward: 135.5072116330266
Step: 35000, Reward: 199.14423322677612
Step: 36000, Reward: 153.76272281259298
Step: 37000, Reward: 169.11258352547884
Step: 38000, Reward: 219.46728766337037
Step: 39000, Reward: 199.97727904468775
Step: 40000, Reward: 212.73869358748198
Step: 41000, Reward: 198.90149220824242
Step: 42000, Reward: 292.6175337806344
Step: 43000, Reward: 169.33282151818275
Step: 44000, Reward: 281.62577752768993
Step: 45000, Reward: 301.34197725728154
Step: 46000, Reward: 349.36754567176104
Step: 47000, Reward: 193.02596151083708
Step: 48000, Reward: 325.5421220138669
Step: 49000, Reward: 215.6744727678597
Step: 50000, Reward: 317.9340696632862
Step: 51000, Reward: 314.13995871320367
Step: 52000, Reward: 297.4717271588743
Step: 53000, Reward: 303.3461431488395
Step: 54000, Reward: 309.83213221281767
Step: 55000, Reward: 300.6828729324043
Step: 56000, Reward: 289.2602120600641
Step: 57000, Reward: 324.93761014938354
Step: 58000, Reward: 301.1739489585161
Step: 59000, Reward: 367.9233891554177
Step: 60000, Reward: 292.4807885698974
Step: 61000, Reward: 342.9691543132067
Step: 62000, Reward: 368.00076676905155
Step: 63000, Reward: 364.60775384679437
Step: 64000, Reward: 322.7991037555039
Step: 65000, Reward: 291.923457223922
Step: 66000, Reward: 290.17010794207454
Step: 67000, Reward: 215.92674542590976
Step: 68000, Reward: 265.58030831068754
Step: 69000, Reward: 356.2497888430953
Step: 70000, Reward: 303.3831210061908
Step: 71000, Reward: 277.6138342320919
Step: 72000, Reward: 261.95814173668623
Step: 73000, Reward: 288.57389452680945
Step: 74000, Reward: 262.5801544710994
Step: 75000, Reward: 397.140177950263
Step: 76000, Reward: 450.68307101354003
Step: 77000, Reward: 211.01184221357107
Step: 78000, Reward: 304.23284079134464
Step: 79000, Reward: 241.93183758109808
Step: 80000, Reward: 184.1241792589426
Step: 81000, Reward: 191.21521277725697
Step: 82000, Reward: 192.25137174129486
Step: 83000, Reward: 190.916752114892
Step: 84000, Reward: 259.65167788788676
Step: 85000, Reward: 286.7768810912967
Step: 86000, Reward: 304.60932241752744
Step: 87000, Reward: 242.16508008167148
Step: 88000, Reward: 241.23493513464928
Step: 89000, Reward: 290.9125203639269
Step: 90000, Reward: 287.0923224017024
Step: 91000, Reward: 335.2265489771962
Step: 92000, Reward: 276.4556351862848
Step: 93000, Reward: 302.2866848409176
Step: 94000, Reward: 302.2037348076701
Step: 95000, Reward: 352.9399885982275
Step: 96000, Reward: 245.2089713215828
Step: 97000, Reward: 367.9637161679566
Step: 98000, Reward: 279.9424976184964
Step: 99000, Reward: 349.0871561393142
Step: 100000, Reward: 243.09490904211998
Step: 101000, Reward: 378.18336960300803
Step: 102000, Reward: 234.24998468533158
Step: 103000, Reward: 231.58033346757293
Step: 104000, Reward: 346.92286793887615
Step: 105000, Reward: 266.69517823308706
Step: 106000, Reward: 223.15273617208004
Step: 107000, Reward: 283.5030280314386
Step: 108000, Reward: 272.8276745453477
Step: 109000, Reward: 216.4876726977527
Step: 110000, Reward: 266.19339947775006
Step: 111000, Reward: 172.6519172564149
Step: 112000, Reward: 198.08625850826502
Step: 113000, Reward: 248.51962641254067
Step: 114000, Reward: 347.929830301553
Step: 115000, Reward: 246.47152541950345
Step: 116000, Reward: 300.83154425770044
Step: 117000, Reward: 416.0266084372997
Step: 118000, Reward: 207.5200214870274
Step: 119000, Reward: 230.78585967421532
Step: 120000, Reward: 229.16767270117998
Step: 121000, Reward: 371.31247583031654
Step: 122000, Reward: 185.69236010685563
Step: 123000, Reward: 171.43406481295824
Step: 124000, Reward: 334.3776394613087
Step: 125000, Reward: 422.99640640616417
Step: 126000, Reward: 292.78913502022624
Step: 127000, Reward: 360.51871117949486
Step: 128000, Reward: 300.5941848307848
Step: 129000, Reward: 300.0423963665962
Step: 130000, Reward: 374.94285425543785
Step: 131000, Reward: 285.0031296648085
Step: 132000, Reward: 253.22830863296986
Step: 133000, Reward: 331.39905885607004
Step: 134000, Reward: 201.144494228065
Step: 135000, Reward: 252.9018932878971
Step: 136000, Reward: 322.16372242569923
Step: 137000, Reward: 315.58785381168127
Step: 138000, Reward: 285.3220492787659
Step: 139000, Reward: 313.64464025199413
Step: 140000, Reward: 328.3995173238218
Step: 141000, Reward: 340.7755006104708
Step: 142000, Reward: 355.40333173796535
Step: 143000, Reward: 261.7763966843486
Step: 144000, Reward: 372.37361542135477
Step: 145000, Reward: 412.1489612571895
Step: 146000, Reward: 320.8548597469926
