Step: 1000, Reward: -187.22338424623013
Step: 2000, Reward: -263.7809574753046
Step: 3000, Reward: -19.05593940615654
Step: 4000, Reward: -107.98509161919355
Step: 5000, Reward: 23.9476500749588
Step: 6000, Reward: 31.42831739038229
Step: 7000, Reward: 35.436845541000366
Step: 8000, Reward: -23.317349210381508
Step: 9000, Reward: 59.322453044354916
Step: 10000, Reward: 111.99411039799452
Step: 11000, Reward: 103.97624734789133
Step: 12000, Reward: 141.09449103474617
Step: 13000, Reward: 75.36823266744614
Step: 14000, Reward: 141.4188993126154
Step: 15000, Reward: 133.57243698835373
Step: 16000, Reward: 139.83287462219596
Step: 17000, Reward: 167.08865121752024
Step: 18000, Reward: 137.0552969351411
Step: 19000, Reward: 196.74141601473093
Step: 20000, Reward: 171.5936313122511
Step: 21000, Reward: 175.25014804303646
Step: 22000, Reward: 135.84529760479927
Step: 23000, Reward: 212.94912541657686
Step: 24000, Reward: 232.9726395457983
Step: 25000, Reward: -123.77186109125614
Step: 26000, Reward: 172.9491342678666
Step: 27000, Reward: 3.106409952044487
Step: 28000, Reward: 92.90455935895443
Step: 29000, Reward: 152.64983800053596
